14803;6558;0;0;0
15318;6558;0;0;0
15832;6558;0;0;0
16346;6558;0;0;0
16861;6558;0;0;0
17375;6558;0;0;0
17889;6558;0;0;0
18403;6558;0;0;0
18918;6558;0;0;0
19432;6558;0;0;0
19946;6558;0;0;0
20460;6558;0;0;0
20975;6558;0;0;0
21489;6558;0;0;0
22003;6558;0;0;0
22517;6558;0;0;0
23031;6558;898;1784;0
23546;6558;902;1711;0
24061;6558;899;1766;0
24577;6558;899;1766;0
25092;6558;899;1766;0
25607;6558;899;1766;0
26122;6558;898;1784;0
26637;6558;899;1766;0
27152;6558;898;1784;0
27667;6558;899;1766;0
28182;6558;901;1729;0
28697;6558;900;1748;0
29212;6558;896;1819;0
29727;6558;900;1748;0
30242;6558;895;1837;0
30757;6558;899;1766;0
31272;6558;901;1729;0
31788;6558;901;1729;0
32303;6558;899;1766;0
32818;6558;900;1748;0
33333;6558;900;1748;0
33848;6558;903;1693;0
34363;6558;900;1748;0
34878;6558;897;1801;0
35392;6558;900;1748;0
35907;6558;903;1693;0
36422;6558;900;1748;0
36937;6558;898;1784;0
37452;6558;897;1801;0
37967;6558;895;1837;0
38482;6558;893;1872;0
38998;6558;897;1801;0
39513;6558;891;1906;0
40028;6558;892;1889;0
40543;6558;893;1872;0
41058;6558;893;1872;0
41573;6558;895;1837;0
42088;6558;893;1872;0
42603;6558;892;1889;0
43118;6558;895;1837;0
43633;6558;895;1837;0
44148;6558;893;1872;0
44663;6558;895;1837;0
45178;6558;895;1837;0
45693;6558;890;1924;0
46209;6558;893;1872;0
46724;6558;892;1889;0
47238;6558;898;1784;0
47753;6558;895;1837;0
48268;6558;892;1889;0
48783;6558;895;1837;0
49298;6558;899;1766;0
49813;6558;896;1819;0
50328;6558;897;1801;0
50843;6558;897;1801;0
51358;6558;898;1784;0
51873;6558;894;1854;0
52388;6558;897;1801;0
52903;6558;899;1766;0
53419;6558;897;1801;0
53934;6558;894;1854;0
54449;6558;898;1784;0
54964;6558;901;1729;0
55479;6558;899;1766;0
55994;6558;897;1801;0
56509;6558;892;1889;0
57024;6558;898;1784;0
57539;6558;900;1748;0
58054;6558;896;1819;0
58569;6558;899;1766;0
59084;6558;897;1801;0
59599;6558;896;1819;0
60113;6558;898;1784;0
60628;6558;902;1711;0
61144;6558;898;1784;0
61659;6558;893;1872;0
